country,date,unemployment
NL,1987-02,7.4
PT,1987-02,8.7
BE,1987-02,10.0
ES,1987-02,20.0
IT,1987-02,9.3
NL,1987-02,7.4
PT,1987-02,8.7
BE,1987-03,9.8
ES,1987-03,20.2
IT,1987-03,9.4
NL,1987-03,8.1
BE,1987-03,10.0
ES,1987-03,19.9
FR,1987-03,9.2
IT,1987-03,9.3
NL,1987-03,7.4
PT,1987-03,8.5
BE,1987-03,10.0
ES,1987-03,19.9
IT,1987-03,9.3
NL,1987-03,7.4
PT,1987-03,8.6
BE,1987-04,9.6
ES,1987-04,20.0
IT,1987-04,9.3
NL,1987-04,7.6
BE,1987-04,10.0
ES,1987-04,19.8
FR,1987-04,9.2
IT,1987-04,9.4
NL,1987-04,7.4
PT,1987-04,8.3
BE,1987-04,10.0
ES,1987-04,19.8
IT,1987-04,9.3
NL,1987-04,7.4
PT,1987-04,8.3
BE,1987-05,9.4
ES,1987-05,19.7
IT,1987-05,9.5
NL,1987-05,7.4
BE,1987-05,9.9
ES,1987-05,19.7
FR,1987-05,9.2
IT,1987-05,9.7
NL,1987-05,7.4
PT,1987-05,8.2
BE,1987-05,9.9
ES,1987-05,19.7
IT,1987-05,9.4
NL,1987-05,7.5
PT,1987-05,8.2
BE,1987-06,9.3
ES,1987-06,19.5
IT,1987-06,9.7
NL,1987-06,7.5
BE,1987-06,9.9
ES,1987-06,19.6
FR,1987-06,9.1
IT,1987-06,9.9
NL,1987-06,7.5
PT,1987-06,8.1
BE,1987-06,9.9
ES,1987-06,19.6
IT,1987-06,9.7
NL,1987-06,7.5
PT,1987-06,8.1
BE,1987-07,9.6
ES,1987-07,19.5
IT,1987-07,9.6
NL,1987-07,6.8
BE,1987-07,9.8
ES,1987-07,19.7
FR,1987-07,9.1
IT,1987-07,9.8
NL,1987-07,7.5
PT,1987-07,7.8
BE,1987-07,9.8
ES,1987-07,19.7
IT,1987-07,9.7
NL,1987-07,7.5
PT,1987-07,7.8
BE,1987-08,10.0
ES,1987-08,19.4
